"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","Избранное","0","Избранные фильмы пользователя","0","0","Успешное добавление в избранное","0"
"0","Авторизация","0","Вход в приложение","1","0","Успешный вход в аккаунт","0"
"0","Авторизация","0","Вход в приложение","1","0","Проверка данных пользователя","0"
"0","Авторизация","0","Информация профиля","1","0","Успешный вход в аккаунт","0"
"0","Авторизация","0","Информация профиля","1","0","Проверка данных пользователя","0"
"0","Профиль пользователя","0","Вход в приложение","1","0","Успешный вход в аккаунт","0"
"0","Профиль пользователя","0","Вход в приложение","1","0","Проверка данных пользователя","0"
"0","Профиль пользователя","0","Информация профиля","1","0","Успешный вход в аккаунт","0"
"0","Профиль пользователя","0","Информация профиля","2","0","Проверка данных пользователя","0"
"0","Регистрация","0","Создание аккаунта","1","0","Успешная регистрация пользователя","0"
"0","Регистрация","0","Создание аккаунта","1","0","Проверка данных пользователя","0"
"0","Регистрация","0","Информация профиля","1","0","Успешная регистрация пользователя","0"
"0","Регистрация","0","Информация профиля","1","0","Проверка данных пользователя","0"
"0","Профиль пользователя","0","Создание аккаунта","1","0","Успешная регистрация пользователя","0"
"0","Профиль пользователя","0","Создание аккаунта","1","0","Проверка данных пользователя","0"
"0","Профиль пользователя","0","Информация профиля","1","0","Успешная регистрация пользователя","0"
"0","Поиск","1","Поиск фильмов","0","0","Успешный поиск фильма","0"
"0","Оценки и отзывы","1","Работа с отзывами","0","0","Успешное добавление оценки и отзыва о фильме","0"
